name,city,state,chain,trophies,hero,amenities,hours,desc,address,phone,directions,snippets,tss,paintSafe,fails
Yucaipa Shell Touchless Car Wash,Yucaipa,CA,Shell,"Inland Empire, CA #3",ok,true,true,true,true,true,true,8,78,false,"READY"
Krispy Klean Car Wash,Flint,MI,,"Fenton, MI #3",ok,true,true,true,true,true,true,28,67,true,"READY"
Rocket Wash Express,Chapel Hill,NC,,"Graham, NC #2",ok,true,true,true,true,true,true,8,73,false,"READY"
Stow Laserwash,Stow,OH,,"Akron, OH #3",ok,true,true,true,true,true,true,19,95,true,"READY"
Mermaid Car Wash,Mt Holly Springs,PA,,"Carlisle, PA #2",ok,true,true,true,true,true,true,5,60,false,"TSS:60"
DJ's Car Wash - Self Service & Automatic Touch Free or Soft Brush,Punta Gorda,FL,,"Fort Myers, FL #1",ok,true,true,true,true,true,true,16,78,false,"READY"
Gorilla Touchless Car Wash Pearland,Pearland,TX,Gorilla Car Wash,"Houston, TX #2",ok,true,true,true,true,true,true,25,80,true,"READY"
AquaMax Carwash,Harrisburg,PA,,"Harrisburg, PA #3",ok,true,true,true,true,true,true,3,82,false,"READY"
Car wash Touchless &. BP Fuels,Saline,MI,BP,"Adrian, MI #1; Ann Arbor, MI #2",ok,true,true,true,true,true,true,10,89,false,"READY"
Anchor Storage and Carwash,Florence,KY,,"Cincinnati, OH #3",ok,true,true,true,true,true,true,17,88,false,"READY"
Froggy's Car Wash,Summerville,SC,,"Charleston, SC #3",ok,true,true,true,true,true,true,11,65,false,"READY"
Zoom Car Wash,Salisbury,MD,,"Georgetown, DE #1",ok,true,true,true,true,true,true,20,51,false,"TSS:51"
Wave Car Wash II LLC,New Britain,CT,,"Hartford, CT #3",ok,true,true,true,true,true,true,17,68,true,"READY"
Lake Erie Auto Wash,Erie,PA,,"Erie, PA #2",ok,false,true,true,true,true,true,3,82,false,"amenities"
Mobil,Ontario,CA,Mobil,"Inland Empire, CA #2",ok,true,true,true,true,true,true,2,80,false,"snips(2)"
Bay Star Carwash,Houston,TX,,"Houston, TX #3",ok,true,true,true,true,true,true,10,84,false,"READY"
Arctic Blast Touchless Car Wash,Anchorage,AK,,"Anchorage, AK #2",ok,true,true,true,true,true,true,7,81,false,"READY"
Wave Car Wash LLC,Newington,CT,,"Danbury, CT #3",ok,true,true,true,true,true,true,5,87,false,"READY"
