touchless_signal,name,brand,address,city,state,zip,lat,lng,car_wash_type,automated,self_service,phone,website,opening_hours,osm_id
false,,,,,AL,,34.9317882,-86.572248,,,,,,,node/2313116526
false,Gamecock Auto Spa,,,,AL,,33.8031101,-85.7621157,,,,,,,node/2376632516
false,,,,,AL,,33.8059449,-85.7618421,,,,,,,node/2376632518
false,Pumphouse Carwash,,,,AL,,31.5470136,-87.8799683,,,,,,,node/2443519515
false,Big Wash,,,,AL,,30.4038824,-87.2757431,,no,yes,,,,node/3088487915
false,Car wash,,,,AL,,33.6592347,-87.6071166,,,,,,,node/3250016618
false,Automated Car Wash,,,,AL,,33.6592347,-87.6068135,,,,,,,node/3250018467
false,Rich's Car Wash,,,,AL,,30.65078,-88.1619858,,,,,,,node/3407070004
false,,,,,AL,,34.6226189,-85.7498659,,,,,,,node/3462799953
false,,,,,AL,,31.6040017,-85.0485308,,,,,,,node/4072289443
false,Water Magic,,102 Enterprise Avenue,Carrollton,AL,30117,33.6008195,-85.0801231,,,,,,,node/4208132170
false,Goo Goo Car Wash,,2207 Broad Street,Selma,AL,36701,32.430427,-87.024683,,,,,,,node/4569064337
false,,,,,AL,,32.4327707,-87.0434438,,,,,,,node/4573884327
false,,,,,AL,,34.2057599,-86.8720672,,yes,no,,,,node/4640806686
false,,,,,AL,,34.2041272,-86.8268426,,no,yes,,,,node/4640851720
false,,,,,AL,,34.81975,-86.9710557,,,yes,,,,node/4932630634
false,,,,,AL,,34.8204012,-87.0028767,,,yes,,,,node/4932630635
false,Super Shine Car Wash,,15959 Kings Drive,Athens,AL,35611,34.7904754,-87.0102516,,,,,,,node/4932681487
false,The Wash,,1600 AL Hwy 14,Millbrook,AL,36054,32.4966141,-86.3991039,,,,+1-334-285-5066,https://www.the3minutewash.com/,Mo-Sa 08:00-19:00; Su 09:00-18:00,node/5303348555
false,,,,,AL,,34.9098292,-84.9465301,,,,,,,node/5419788827
false,Goo-Goo Express Wash,,,,AL,,33.5112954,-86.7967697,,,,,,,node/5788033616
false,Goo-Goo Express Wash,,7641 Crestwood Boulevard,Birmingham,AL,35210,33.5301722,-86.7219122,,,yes,+1-205-236-4654,https://googooexpresswash.com/locations/crestwood/,Mo-Sa 08:00-20:00; Su 10:00-18:00,node/5917236102
false,,,,,AL,,34.4596258,-85.7059649,,,,,,,node/6376254441
false,Shell,Shell,,,AL,,33.6111471,-86.7959693,,,,,,,node/6389687882
false,Fast Trac Car Wash,,,,AL,,34.0089566,-85.0332616,,,,,,,node/6418010509
false,Car Wash USA Express,Car Wash USA Express,1117,Troy,AL,36081,31.7828994,-85.956943,,,,+1 334-319-8068,https://www.take5.com/locations/car-wash/alabama/troy/45072/,,node/6544541530
false,Take 5 Car Wash,Take 5,,,AL,,33.1674649,-87.5363898,,,,,,,node/6685888656
false,Goo Goo Express Car Wash,,,,AL,,33.6388241,-86.6174457,,,,,,,node/7142092055
false,Express Car Wash,,,,AL,,31.1936312,-85.3768668,,,,,,,node/7684546099
false,Oasis Auto Clean,,4955 Mobile Highway,Pensacola,AL,32506,30.4432041,-87.2857715,,,yes,,,24/7,node/7702897723
false,Go Clean Car Wash,,6658 Mobile Highway,Pensacola,AL,32526,30.4760961,-87.3079675,,,yes,,,Mo-Su 08:00-19:00,node/7707401889
false,Go Clean Car Wash,,8897 Pensacola Boulevard,Pensacola,AL,32534,30.5263727,-87.2755697,,,,,,Mo-Su 08:00-19:00,node/7714246083
false,Goo Goo Express Car Wash,,1634 Bessemer Road,Birmingham,AL,35208,33.4886225,-86.8879616,,,,+1-205-583-1382,https://googooexpresswash.com/locations/bessemer/,Mo-Sa 09:00-20:00; Su 10:00-18:00,node/7956309986
false,,,,,AL,,33.9217754,-85.6183797,,,,,,,node/8465030054
false,,,,,AL,,32.6992265,-87.5816588,,,,,,,node/8629979794
false,Zips Car Wash,,4254 Woodbine Road,Pace,AL,32571,30.5933648,-87.1769495,,,,,,,node/9027607532
false,,,,,AL,,34.7937833,-84.9614414,,,,,,,node/9143674475
false,,,,,AL,,34.790558,-84.9609759,,yes,no,,,,node/9143674654
false,Quick Wash,,,,AL,,30.7705285,-85.206959,,,,,,,node/9696616859
false,,,,,AL,,30.6033769,-87.8989407,,,,,,,node/9819410090
false,,,,,AL,,30.7791485,-85.5451646,,,,,,,node/9906492826
false,Blue Moose,,,,AL,,30.8035501,-88.1085663,,,,,,,node/9932816915
false,Crossroads Car Wash,,,,AL,,33.7389313,-88.4330587,,,,,,,node/9968075652
false,,,,,AL,,33.5355652,-88.3067898,,,,,,,node/9968108427
false,Rich's Car Wash,,28823 US Highway 98,Daphne,AL,36526,30.6453437,-87.9135718,,yes,,,,Mo-Su 08:00-19:30,node/9998695398
false,,,,,AL,,34.2715608,-85.2264094,,,,,,,node/10087677950
false,Ronny's Car Wash Express,,7106 North Davis Highway,Pensacola,AL,32504,30.4980805,-87.2210491,,,,+1 850-477-2584,https://www.ronnyscarwash.com/,,node/10752136351
false,,,,,AL,,34.3681305,-86.9080357,,,,,,,node/10981774998
false,,,,,AL,,34.4538833,-86.9462949,,,,,,,node/10981786738
false,Jiffy Lube,,,,AL,,34.7367382,-85.2737181,,,,,,,node/11011451306
false,Highland's Carwash,,,,AL,,31.7853664,-85.5540816,,,,,,,node/11188750551
false,Carnoisseur Detail Studio,,3885 Miller Road,,AL,,32.5250204,-84.9294428,,,,+1-706-393-3486,,,node/11394026702
false,,,,,AL,,31.0039798,-86.3272811,,,,,,,node/11975326159
false,,,,,AL,,34.4907822,-84.9483769,,,,,,,node/12021385666
false,Rich's Car Wash Wetumpka,,,,AL,,32.5260617,-86.205949,,yes,no,+1-334-719-0634,https://www.richscarwash.com/wetumpka-al/,08:00-19:30,node/12244428108
false,,,,,AL,,33.1749761,-87.445288,,,,,,,node/12305191072
false,,,,,AL,,30.5551437,-88.1711358,,,,,,,node/12361083737
false,,,,,AL,,32.6441157,-85.3512456,,,,,,,node/12361241721
false,,,,,AL,,33.5504226,-86.8311484,,,,,,,node/12427900939
false,Take 5 Car Wash,Take 5,6631 Hwy 69S,Tuscaloosa,AL,35405,33.1472019,-87.5432599,,,,,,07:00-20:00,node/12684890663
false,Jobabies Car Wash,,,,AL,,34.499471,-87.7181573,,,,,,,node/12779282713
false,,,,,AL,,33.5867502,-85.8074092,,,,,,,node/12855414794
false,Kleen Carwash & Details,,4414 Evangel Circle Northwest,,AL,,34.7373428,-86.6402596,,,,+1-256-990-3210,https://www.facebook.com/Kleen4ucarwash,Mo-Sa 09:00-17:00,node/12967951912
false,,,,,AL,,33.9942669,-86.0840043,,,,,,,node/13015644904
false,Self Service Washing,,,,AL,,33.1725645,-87.5471682,,,,,,,node/13066486452
false,Take 5 Car Wash,Take 5,,,AL,,33.6357258,-86.6844146,,,,,,,node/13072846618
false,New Day Car Wash,,1701 Fulton Road,Fultondale,AL,35068,33.6095329,-86.8051367,,,,+1-205-784-2010,https://newdaycarwash.com/fultondale,"Mo-Fr 07:00-20:00; Sa,Su 08:00-20:00",node/13073425508
false,,,,,AL,,33.3490823,-86.6305444,,,,,,,node/13146945717
false,Marc-1 Car Wash,,3011 McFarland Boulevard East,,AL,35405,33.1827199,-87.5254301,,,yes,+1-205-859-2727,https://marc1carwash.com/,Mo-Sa 07:00-20:00; Su 09:00-20:00,node/13184973702
false,Edward's Car Wash,,,,AL,,33.7563231,-88.1090009,,,,,,,node/13265395513
false,Panther Express Car Wash,,,,AL,,33.9239553,-86.0213834,,,,,,,node/13327684384
false,Shell,Shell,,,AL,,33.0937997,-86.8545727,,,,,,,node/13353974159
false,Tidal Wave Auto Spa,Tidal Wave Auto Spa,,,AL,,33.1689361,-87.5208688,,,,,,,node/13585703879
false,Main Post Car Wash,,105 Marchant Street,,AL,31905,32.3606972,-84.9645454,,,,,https://benning.armymwr.com/programs/auto-care-auto-sales-car-washes,24/7,node/13724576601
false,Splash N Go Car Wash,,1851 Pinson Valley Parkway,Tarrant,AL,35217,33.5863801,-86.7683938,,,yes,,,,way/124672338
false,Chevron,Chevron,,,AL,,33.6076388,-86.6283725,,,,,,,way/205108030
false,,,,,AL,,31.2552577,-85.4114938,,,,,,,way/211337612
false,,,,,AL,,33.639926,-86.5808267,,,,,,,way/220265075
false,,,,,AL,,30.3499828,-87.268286,,,,,,,way/228398156
false,U-SUDS-It Car Wash,,,,AL,,33.7709535,-86.4725159,,no,only,,,,way/240666044
false,,,,,AL,,30.3873767,-87.2765138,,,,,,,way/265351345
false,,,,,AL,,33.7019073,-86.519892,,,,,,,way/287389885
false,Classic Car Wash,,602 Martin Street South,Pell City,AL,35125,33.5835413,-86.2783731,,,,+1 205 338 1322,https://www.classiccarwash-pellcity.com/,Mo-Fr 08:30-16:30,way/289295611
false,Downtown Auto Detailing,,7 18th Street South,Pell City,AL,35125,33.5855431,-86.2869916,,,,+1 205 812 0072,,Tu-Sa 08:00-16:00,way/289469075
false,Auto Shine,,1401 Cogswell Avenue,Pell City,AL,35125,33.585156,-86.2920673,,,,+1 205 338 1919,,,way/289483391
false,,,,,AL,,30.4238682,-86.6491933,,,,,,,way/322780103
false,Mary Esther Car Wash,,120 Mary Esther Boulevard,Mary Esther,AL,32569,30.4109361,-86.6558457,,,,,,,way/322783597
false,,,,,AL,,30.4837943,-87.2009305,,,,,,,way/354613321
false,Top Gun Car Wash,,4085 East Olive Road,Pensacola,AL,32514,30.5117834,-87.1835906,,,,+1 850-529-1777,,24/7,way/355378141
false,,,,,AL,,30.6769861,-88.1714977,,,,,,closed,way/361591175
false,Downtown Carwash,,,,AL,,34.17438,-86.8464369,,,,,,,way/377231034
false,,,,,AL,,34.6853729,-86.7341399,,,,,,,way/384569855
false,,,,,AL,,34.6760011,-86.7512493,,,,,,,way/384775022
