place_id,name,address,lat,lng,rating,reviews,phone,types,open_state,queriesMatched,metrosMatched,metrosMatchedCount,nameIsTouchless,firstFoundMetro,thumbnail
ChIJV4lQHEifToYRu839UWXY7Dc,Carnation Auto Spa,"4915 Lemmon Ave, Dallas, TX 75219",32.822526499999995,-96.8188115,4.5,3317,(972) 777-5170,Car wash|Car detailing service,Open · Closes 8 PM,touchless car wash|laser car wash|brushless car wash,dallas-fort-worth,1,true,dallas-fort-worth,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEgQEcAIYmYPI4MPE3iCGMK1mfmc-w9L7iZ-2udQNa5cwTjtLXYisYUwcHF1prVIJx4w4Rt07sm8XIhrq3Fzx1mF-x1s5mHuQJT8FNUcWIKPNltmS9OK2sXOfyB0ba0SWjOl3Jn=w122-h92-k-no
ChIJFTvzt_btwIcR6Tfl2kfrbzw,Tidal Wave Auto Spa | Car Wash,"6501 Johnson Dr, Mission, KS 66202",39.0219786,-94.6610195,4.8,1347,(706) 558-6500,Car wash|Self service car wash,Open · Closes 8 PM,touchless car wash|laser car wash|brushless car wash,kansas-city,1,true,kansas-city,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEaOhkuxLq6CUm-eHWapsNAnx2UEwqJZMbhfp6QC5QXXmIzTehJQLYtz9EVkiwdwk2QLFgXO9SoO9Z7k-s1hYl1tDoX6Q3vqSZAfeGaaicQQdSmw4CfJrL19Na5gsMn5diXngsP=w80-h120-k-no
ChIJX3bsFxMFU4gRtzbbAfAKU1w,Tidal Wave Auto Spa | Car Wash,"3898 Brian Jordan Pl, High Point, NC 27265",36.0315905,-79.9626083,4.4,963,(706) 558-6500,Car wash|Self service car wash,Open · Closes 8 PM,touchless car wash|laser car wash|brushless car wash,greensboro,1,true,greensboro,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGo4BRIkIXRlsBPZ9557YudWdmSTKsvSHTeUIMN2lZoVGUpdLo93z5TEWwOiRJ-MHSNNk2821CPN7aVftCk9mVx9ZojfreDqlUTIapo_CNMHRSvsshyqlKQcwQJtgWxYdTinoc=w122-h92-k-no
ChIJvRbg2TjuNIgRavR0ZpcAtTc,All Washed Up Auto Spa,"630 William Marks Dr, Munhall, PA 15120",40.409473299999995,-79.89900659999999,4.5,874,(888) 226-6100,Car wash|Self service car wash,Open · Closes 9 PM,touchless car wash|laser car wash|brushless car wash,pittsburgh,1,true,pittsburgh,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6d9WO2zfNmIEm-SIh8KU_leK1KomzsIxAMb8CFmxvV4OK3GfO2p8SlM_Gq_oHpBCYTjxN1TVgLdbcKlPPWQMGS2Nr-KCf-a7WWxJvUZQfbu4j-ojRT5H5kjHskI75oGVUPmofZw=w122-h92-k-no
ChIJU8Tjy0scU4gRiGJIPteTHRE,Tidal Wave Auto Spa | Car Wash,"3745 Battleground Ave, Greensboro, NC 27410",36.1358053,-79.8607102,4.2,793,(706) 558-6500,Car wash|Self service car wash,Open · Closes 8 PM,touchless car wash|laser car wash|brushless car wash,greensboro,1,true,greensboro,https://lh3.googleusercontent.com/gps-cs-s/APNQkAECABCLVxV8lnvC7ErSxqKYkNTWMZhyJuUEQFzwIYNNhGxZCfMB_CAhW5RxuG_VVuKsNogSAgrM00MICHHwHtTlvteOmvM40F4-dHT5fROvnS_-Nq7E213CacZ4v9eYQFdcXp2S=w122-h92-k-no
ChIJw5kBnyjzrIkRy8bDo4pThXQ,Tidal Wave Auto Spa | Car Wash,"1950 Lake Pine Dr, Apex, NC 27502",35.7433818,-78.8230454,4.5,784,(706) 558-6500,Car wash|Self service car wash,Open · Closes 8 PM,touchless car wash|laser car wash|brushless car wash,raleigh-durham,1,true,raleigh-durham,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEAZtQfUJD-Hq7dlGxvTAD9r0QheCYWScMp1E7YwzrNvPYi5FiCcQ9KwxLhFtyrz8mttTObivPBP3ab1WUv269t8nXPTYUoPaaLMqcWrZ9XXtpvGfyWiE0DXjasPt1wN5JXCpnS=w122-h92-k-no
ChIJVww_TB_vwIcRUVmUSvpClGM,Tidal Wave Auto Spa | Car Wash,"7930 State Line Rd, Prairie Village, KS 66208",38.984417799999996,-94.60851889999999,4.5,657,(706) 558-6500,Car wash|Self service car wash,Open · Closes 8 PM,touchless car wash|laser car wash|brushless car wash,kansas-city,1,true,kansas-city,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGIysf71Shx03cx2gM7sQJlYYhRAMsQhMowsFh_YOawo1f49rKMFdC17-67ENmZpKpomlqyKAF5GqyJuHOJVw1YzQs6CEY7umLE41tGQl9FQkNqWG1cD5Yk-kobKz9N7UVuqBlrsw=w122-h92-k-no
ChIJu6KhHs4d9YgR8Fja_qLIsDo,Tidal Wave Auto Spa | Car Wash,"1185 Research Center Dr SW, Atlanta, GA 30331",33.7236317,-84.506529,4.3,630,(706) 558-6500,Car wash|Self service car wash,Open · Closes 7 PM,touchless car wash|laser car wash,atlanta,1,true,atlanta,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF-w5THYkeQ7opCLWI-PUw7otTvAlPDHkirA23PpRnrpB7EEB4mtXjvYR3m-mvocKvnSUt4GkBaPRY8pbnuTOQJ_FnkIrs0vV3u0GBeiSToKmWVpWS8ov-xwq0aYsiA26Z14adJ=w122-h92-k-no
ChIJX4HzQGiLUocRlObJBu_S7VE,Utah Auto Spa,"3151 Redwood Rd, West Valley City, UT 84119",40.7030159,-111.9383539,3.8,590,(801) 972-0670,Car wash|Self service car wash,Open 24 hours,touchless car wash|laser car wash|brushless car wash,salt-lake-city,1,true,salt-lake-city,https://lh3.googleusercontent.com/gps-cs-s/APNQkAELMW3_FpqWJwBK1EEUYIkLan13o8D39LDpLKJqXOC7g55BLPAKe4zpvGslGyX2i4Lsy5ztDxvHKGVI_z19YgO6IvhflyAUxUugoldT5c_x1l7W318QT2t8ujWTlymcQx3ODK5uBQ=w80-h97-k-no
ChIJu30mmBWNyIkRx9o5peRL0kY,West York Auto Spa Express,"2140 York Crossing Dr, York, PA 17408",39.965289299999995,-76.77434269999999,4.5,542,(717) 650-6600,Car wash,Open · Closes 8 PM,touchless car wash|laser car wash|brushless car wash,york,1,true,york,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFaUDeU4xxb3IEfl7xH8h1zYh89MCORFM2E89fARWLFNLwfCJ_ip1zqR6x-8VCq1RMikqoAYaFGmz-tG6jNEKoRUtIawyeMFQCx3OY3Xfh_ta4KmeWF0wGAoLT52UtdEkuxDNol=w175-h92-k-no
