rejectReason,name,reviews,address,types,place_id
known-tunnel-chain,Tidal Wave Auto Spa | Car Wash,1347,"6501 Johnson Dr, Mission, KS 66202",Car wash|Self service car wash,ChIJFTvzt_btwIcR6Tfl2kfrbzw
known-tunnel-chain,Tidal Wave Auto Spa | Car Wash,963,"3898 Brian Jordan Pl, High Point, NC 27265",Car wash|Self service car wash,ChIJX3bsFxMFU4gRtzbbAfAKU1w
known-tunnel-chain,Tidal Wave Auto Spa | Car Wash,793,"3745 Battleground Ave, Greensboro, NC 27410",Car wash|Self service car wash,ChIJU8Tjy0scU4gRiGJIPteTHRE
known-tunnel-chain,Tidal Wave Auto Spa | Car Wash,784,"1950 Lake Pine Dr, Apex, NC 27502",Car wash|Self service car wash,ChIJw5kBnyjzrIkRy8bDo4pThXQ
known-tunnel-chain,Tidal Wave Auto Spa | Car Wash,657,"7930 State Line Rd, Prairie Village, KS 66208",Car wash|Self service car wash,ChIJVww_TB_vwIcRUVmUSvpClGM
known-tunnel-chain,Tidal Wave Auto Spa | Car Wash,630,"1185 Research Center Dr SW, Atlanta, GA 30331",Car wash|Self service car wash,ChIJu6KhHs4d9YgR8Fja_qLIsDo
known-tunnel-chain,Tidal Wave Auto Spa | Car Wash,497,"1409 Packer Crossing, Richmond, VA 23235",Car wash|Self service car wash,ChIJU29c749tsYkRWa_X-89zNeY
known-tunnel-chain,Tidal Wave Auto Spa | Car Wash,480,"2008 Cornhusker Rd, Bellevue, NE 68123",Car wash|Self service car wash,ChIJy2S3XyqJk4cRzIYqf2ZsHbg
known-tunnel-chain,Tidal Wave Auto Spa | Car Wash,468,"12901 Deertrace Ave, Orlando, FL 32837",Car wash|Self service car wash,ChIJz4PVZ6eH3YgRi6PZWSoXnn0
known-tunnel-chain,Tidal Wave Auto Spa | Car Wash,451,"10760 Parallel Pkwy, Kansas City, KS 66109",Car wash|Self service car wash,ChIJUdHAzzWPwIcRA3ew33GfK2s
known-tunnel-chain,Tidal Wave Auto Spa | Car Wash,377,"4140 Fountain Ln, Horn Lake, MS 38637",Car wash|Self service car wash,ChIJYSuacS5j1YcRvH-JYFi_jrM
known-tunnel-chain,Tidal Wave Auto Spa | Car Wash,350,"10601 Unser Blvd NW, Albuquerque, NM 87114",Car wash|Self service car wash,ChIJXS9n8sdxIocRD9EVeO-1JtU
known-tunnel-chain,Tidal Wave Auto Spa | Car Wash,281,"17620 East 39th St S, Independence, MO 64055",Car wash|Self service car wash,ChIJwU9m7bIdwYcR4SG7GoGHzDA
known-tunnel-chain,Tidal Wave Auto Spa | Car Wash,241,"11910 M St, Omaha, NE 68137",Car wash|Self service car wash,ChIJJXhx8p3zk4cRN_Ews1BetmI
known-tunnel-chain,Tidal Wave Auto Spa | Car Wash,133,"11902 W Dodge Rd, Omaha, NE 68154",Car wash|Self service car wash,ChIJtRr3y6WNk4cRxhNkF7xY5dU
non-carwash-business,Bernard's Chevron Touchless Car Wash,95,"1051 Airway Blvd, Livermore, CA 94550",Car wash,ChIJw-MOlz_pj4ARTjc-xL8lHp4
non-carwash-business,Walmart Supercenter,8747,"3223 E Hammer Ln, Stockton, CA 95212",Department store|Bakery|Clothing store|Electronics store|Furniture store|Grocery store|Hardware store|Home goods store|Sporting goods store|Toy store,ChIJ8_0y7bcMkIARlw0JrQfhDkc
non-carwash-business,Walmart Supercenter,7662,"6225 Colony St, Bakersfield, CA 93307",Department store|Bakery|Clothing store|Electronics store|Furniture store|Grocery store|Hardware store|Home goods store|Sporting goods store|Toy store,ChIJIZNZpbBq6oARVEJ7gnwXTz0
non-carwash-business,Walmart Supercenter,6332,"8400 Rosedale Hwy, Bakersfield, CA 93312",Department store|Bakery|Clothing store|Electronics store|Furniture store|Grocery store|Hardware store|Home goods store|Sporting goods store|Toy store,ChIJc4PlsK1D6oARJpR881pvsDM
known-tunnel-chain,Take 5 Car Wash,5586,"3949 S Belt Line Rd, Grand Prairie, TX 75052",Car wash,ChIJvVExMveFToYRI5SzhFIOSTM
known-tunnel-chain,BlueWave Express Car Wash,4348,"700 W Trenton Rd, McAllen, TX 78504",Car wash,ChIJWX-b8VGhZYYRVa6eOAhRD7c
non-carwash-business,Walmart Supercenter,4232,"1730 Lincoln Way E, Chambersburg, PA 17202",Department store|Bakery|Clothing store|Electronics store|Furniture store|Grocery store|Hardware store|Home goods store|Sporting goods store|Toy store,ChIJK9qOEP6eyYkRGoJJx4ZP8gU
known-tunnel-chain,LUV Car Wash,4158,"1555 Dunn Ave, Jacksonville, FL 32218",Car wash,ChIJlU_G9Baw5YgRwoGzf65myJY
known-tunnel-chain,Quick Quack Car Wash,3733,"1120 Exposition Blvd, Sacramento, CA 95815",Car wash|Self service car wash,ChIJp_Dtn1TXmoARA3MTk3qeFyE
known-tunnel-chain,Hello! Deluxe Car Wash,3713,"2500 Fort Worth Ave, Dallas, TX 75211",Car wash,ChIJydagpV2bToYRNnqT9SrnRbs
known-tunnel-chain,BlueWave Express Car Wash,3516,"1382 W University Dr, Edinburg, TX 78539",Car wash,ChIJv6LIQjWiZYYR400zyYgp0Ik
known-tunnel-chain,Quick Quack Car Wash,3400,"1609 Watt Ave, Sacramento, CA 95864",Car wash|Self service car wash,ChIJkcFCWLnbmoARImzj_Kp-wGA
non-carwash-business,Jerry's Home Improvement Center,3328,"2525 Olympic St, Springfield, OR 97477",Home improvement store,ChIJDx7nPP7gwFQRSLJtd6CKZEQ
known-tunnel-chain,Quick Quack Car Wash,2867,"12830 Day St, Moreno Valley, CA 92553",Car wash|Self service car wash,ChIJf1OjgG2v3IAR0ujGrjSBSns
known-tunnel-chain,Take 5 Car Wash,2851,"3802 W Illinois Ave, Dallas, TX 75211",Car wash,ChIJH1v6OYaaToYRMff4dCvF2KQ
known-tunnel-chain,Take 5 Car Wash,2844,"400 24th St S, Birmingham, AL 35233",Car wash,ChIJ5-BGzbgbiYgRoTMWURFEZLg
known-tunnel-chain,LUV Car Wash,2610,"9491 Baymeadows Rd, Jacksonville, FL 32256",Car wash,ChIJTW3CI1jK5YgR7ZtrYtcGX3k
known-tunnel-chain,Take 5 Car Wash,2521,"7641 Crestwood Blvd, Birmingham, AL 35210",Car wash,ChIJQzWOeZBtYogRISmi8nPd6Ig
known-tunnel-chain,Zips Car Wash,2468,"9430 Page Ave, St. Louis, MO 63132",Car wash,ChIJv0wEgY8034cRqpaZo0CLy8c
known-tunnel-chain,Quick Quack Car Wash,2467,"1208 E Polk Ave, Pharr, TX 78577",Car wash|Self service car wash,ChIJMy446H2hZYYR4rCTC-l7qH8
known-tunnel-chain,Take 5 Car Wash,2421,"3851 Lapalco Blvd, Harvey, LA 70058",Car wash,ChIJ172PzMOe-IgRk9noLfoU8Nw
known-tunnel-chain,Take 5 Car Wash,2367,"250 Lapalco Blvd, Gretna, LA 70056",Car wash,ChIJcx3hdVe9-IgRrpoKt33QnsU
known-tunnel-chain,Take 5 Car Wash,2348,"1917 Skibo Rd, Fayetteville, NC 28314",Car wash,ChIJU6OJjC5rq4kRz5rJrrB5hWE
known-tunnel-chain,WhiteWater Express Car Wash,2249,"13722 E Freeway Service Rd, Houston, TX 77015",Car wash,ChIJV9AB6aajQIYR9kiQCtDO9yA
known-tunnel-chain,Take 5 Car Wash,2215,"4349 Summer Ave, Memphis, TN 38122",Car wash,ChIJbdpUAeiDf4gRbnAk3S0-D5U
non-carwash-business,The Home Depot,2214,"4001 Ming Ave, Bakersfield, CA 93309",Home improvement store|Appliance store|Bathroom supply store|Flooring store|Garden center|Hardware store|Kitchen supply store|Lumber store|Paint store|Tool store,ChIJB94H1thB6oAR8k-frMtlGQM
known-tunnel-chain,Rocket Express Car Wash,2189,"12345 W Fairview Ave, Boise, ID 83713",Car wash,ChIJUXyMTyVUrlQRuha_5m12yJc
known-tunnel-chain,Take 5 Car Wash Utah,2132,"672 S W Temple St, Salt Lake City, UT 84101",Car wash,ChIJjaRzy4kHZIgR8tGbKiFvPrI
known-tunnel-chain,Take 5 Car Wash,2117,"11380 Bloomingdale Ave, Riverview, FL 33578",Car wash,ChIJt4pREM3RwogRh9d25v32jWw
known-tunnel-chain,Quick Quack Car Wash,2078,"1901 L St, Sacramento, CA 95811",Car wash|Self service car wash,ChIJEwYDLIPRmoAR4g-jnVwLvhI
known-tunnel-chain,Hello! Deluxe Car Wash,2075,"6605 Larmanda St, Dallas, TX 75231",Car wash,ChIJu4Luz_WhToYR_RPfXYE5HVU
non-carwash-business,The Home Depot,2064,"2655 Mount Vernon Ave, Bakersfield, CA 93306",Home improvement store|Appliance store|Bathroom supply store|Flooring store|Garden center|Hardware store|Kitchen supply store|Lumber store|Paint store|Tool store,ChIJhduVnlBp6oARVBFZQ3BVoq0
non-carwash-business,Lowe's Home Improvement,2026,"7825 Rosedale Hwy, Bakersfield, CA 93308",Home improvement store|Appliance store|Building materials supplier|Flooring store|Furniture store|Grill store|Hardware store|Lawn equipment rental service|Outdoor furniture store|Rug store,ChIJX9w7mE1C6oARbim0flB5UlE
