confidence,score,name,address,lat,lng,rating,reviews,phone,place_id,queriesMatched,firstFoundMetro,thumbnail
high,9951,Carnation Auto Spa,"4915 Lemmon Ave, Dallas, TX 75219",32.822526499999995,-96.8188115,4.5,3317,(972) 777-5170,ChIJV4lQHEifToYRu839UWXY7Dc,touchless car wash|laser car wash|brushless car wash,dallas-fort-worth,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEgQEcAIYmYPI4MPE3iCGMK1mfmc-w9L7iZ-2udQNa5cwTjtLXYisYUwcHF1prVIJx4w4Rt07sm8XIhrq3Fzx1mF-x1s5mHuQJT8FNUcWIKPNltmS9OK2sXOfyB0ba0SWjOl3Jn=w122-h92-k-no
low,9050,El Car Wash - North Hialeah,"1270 W 49th St, Hialeah, FL 33012, United States",25.8661611,-80.30848209999999,4.8,7542,+1 866-305-4329,ChIJxXuE6_C62YgRZ9y8p6wqP3I,touchless car wash,miami,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFUUxnFVHocfeB28ebVqWS1hRWWy8j66yLPQBN_ZlZpeD8oUN_OAxblA5emg6rhmw4I9BHQvwQjaHjf0AcbZlfsXuJJX3C0Pi6kjvta5E9V2fwSvlswVN1WaeSb5uYcoxjZuR2r=w80-h112-k-no
low,7748,"Drive & Shine Car Wash, Oil Change and Interior Cleaning","5406 N Main St, Mishawaka, IN 46545",41.7098739,-86.1789265,4.7,6457,(574) 271-7788,ChIJz1WGgBzSFogRgDu0_FYIGyQ,touchless car wash,south-bend,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFDKPtR9hSl9LCsGF0ACnbug0ETMDehf6uB8Ex3ePvnSmgpbboBBUNzTUGkYdDXx3MebG_QaBAMXe7Pz2br-Z2eT8piBZNW7QpRvGl32azbIUYbyJrylA3KeBvIx9mB4MKJ_QTKcQ=w137-h92-k-no
low,4810,White Horse Auto Wash,"6215 Charles Arrington Dr, Alexandria, VA 22310",38.767191,-77.1532112,4.7,4008,(540) 316-6019,ChIJTQhAE2itt4kRXQWBBl-nJuU,laser car wash|brushless car wash,washington-dc,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEepWjFdj4jNYh5iWQgYG4AyZGURqiyTalQxnP0xhZAx9Z5Yi90CkYLgPa7Z-4bb1Cb25GT98lnWc8_lgwSZtm_TW_2G5XF-hV4RgaHZjsSOfLKWkVohVY7O4qj1TmPJLcCtXqf=w122-h92-k-no
low,4667,Prestige Car Wash,"277 Middlesex Ave, Medford, MA 02155",42.4125289,-71.07855219999999,4.7,3889,(781) 562-1622,ChIJt1XcTT9x44kRufkPmh7HK2k,touchless car wash|laser car wash|brushless car wash,boston,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2JDcvhHPJHyH8cJlgjZhqj9ZNQsAmv0xk430eUY4CroG7rm9RM12bwe-IhLPP1gCXqqmW1rKcq809sI79150lThJUcZQ2D-y6IlkNC0QoC5oc7m_K4xsJLylYKALTn9fLgMD-Jg=w122-h92-k-no
low,3756,CARisma WASH,"4510 Telephone Rd, Houston, TX 77087",29.6970535,-95.30160049999999,4.7,3130,(713) 644-5500,ChIJt3uvCOW9QIYRM1k7Wxuqi64,touchless car wash|brushless car wash,houston,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHlFWoWCUAiUCGoru0P2uvnb7tNncrO8WV1IDI-NWM-9M21uxD6LMfCbXMhYE-K61x0CJ351BfOd0hggB6Ij-QSaCaxuScijMKoKr7M2SAJkOk9cNzuEFaVVZe_O9x9Iuz7eXJM4w=w163-h92-k-no
low,3594,Busy Bee Car Wash,"10550 Biscayne Blvd, Miami, FL 33138, United States",25.872390199999998,-80.1727499,4.5,2995,+1 786-933-9227,ChIJZ6LmoT2y2YgRhwi8zvz55Is,touchless car wash|brushless car wash,miami,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFwf9aqzl1e3o4tCnlD5hM4IFfb2mcisbmz-yk8BYG3qcmj_7IWlida6nBBbf5CpCpgkay_vIdZz5pZVWOZafDiZbgyiVFsoO9pJ5ImmwV62g6VgsbUYsjlCEVbakQDDKdQliVbPo5bxJ8=w138-h92-k-no
low,3560,Waters Car Wash - W Colonial,"2605 W Colonial Dr, Orlando, FL 32804",28.5532337,-81.4128028,4.9,2967,(561) 556-9274,ChIJtWeWq81754gRiT8i9Pe4Jwo,touchless car wash|laser car wash,orlando,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH28_QiYaU9igMIyQitiX9XHA457E_Zgm6-m-lIlltPNP5nSzMVUsVlpNZwp3ZlDKUTscyvjXA96K_I1oIK9PSywYN4o6DWEwPaTDSV40n78VrlK38TGXMxr-nwnIWz_SMYEFtYCg=w80-h120-k-no
low,3499,Waters Car Wash-Waterford Lakes,"340 S Alafaya Trail, Orlando, FL 32828",28.5415709,-81.2069001,4.8,2916,(561) 556-9274,ChIJxUOVxLJn54gRedCszvz44qs,laser car wash,orlando,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE5oKN4PXjB4Z8cZbMchith5PyplvjTTkqaL_Vu_BOyk9-jd0WVpiEhbm4j1qewytvbAYly9FjZcktsEQ3wZG6oaVzmVVj7_kH5fiDVy5ixcCXNGZ7uVgLYKYcvzld7f8SfUg=w122-h92-k-no
low,3245,Yates Car Wash & Detail Center,"1018 N Henry St, Alexandria, VA 22314",38.816494,-77.04966,4.5,2704,(703) 739-4800,ChIJvazOv-Swt4kRjOyhNf3D-A8,laser car wash,washington-dc,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLDF3zATh_MLvrGh8EXvVLaxEb0v82k0witFUiTo9SV5igGl3v3OGYukuRQ7pRQmgOQJ7Vt1d6p3dzDjmav8hDO-EnhzOFqRoUv0_F1NEMh288r5na0oeCSonTGLvbS3qKP-hqUw=w138-h92-k-no
low,3235,El Car Wash - Coral Gables,"5201 SW 8th St, Coral Gables, FL 33134, United States",25.7640244,-80.2800633,4.8,2696,+1 866-305-4329,ChIJYQ_-ef252YgRpURcDxrA0kg,touchless car wash|laser car wash,miami,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGrILRKyUL2Y-6RiEiJfBqkvJWzbTxX4cPy8e75q-ev4CVY73icpKhBZL3WAhCSKujbFqCQMdCaZ1zC1VqvQxbAwomGU-jQhWWnFP52_Swc1dsBwGzC3tGlWjUwjMuJ-m_vmosT=w122-h92-k-no
low,3198,Flagstop Car Wash,"7821 E Parham Rd, Henrico, VA 23294",37.630208499999995,-77.5330151,4.8,2665,(804) 781-3341,ChIJW4mCaRMVsYkRyXT9iEZDby0,touchless car wash|laser car wash|brushless car wash,richmond,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGBUPJad1YVrfVTHUfvb6hpTCj7vGTCabFCd_9rOJKOYlXst_I06TSJV0czrK8ZNRARZY8ryfom9FbuPiyDRhZV8WjRBgAIb0hULr6ihtB9eFphAxb6pCZQ2WH-Rp2fkehKIwHTVtgVc3_f=w80-h106-k-no
low,3169,Dash Car Wash,"2710 E Desert Inn Rd, Las Vegas, NV 89121",36.130087599999996,-115.11324259999999,4.5,2641,(725) 726-4815,ChIJTyqPa6LFyIARG-66XvZ2CWE,touchless car wash|laser car wash,las-vegas,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHWYyzXo8sg0lJxpa8DuW8xytCL5E1TynLhBBN0AG7Ql33TkgH--pRkz6ypEErw_AiZ5RKYPxVXVlLqSNwz2CGby9X9JrKYHU9Oo0_RoSDE1zTkpgmEsNbjDPubf_mQmYNirCgK=w122-h92-k-no
low,2891,ModWash,"4234 Buffalo Rd, Erie, PA 16510",42.1453858,-80.00614019999999,4.9,2409,(423) 485-0005,ChIJXVP0hO99LYgRWXVbfgnuCGg,touchless car wash|laser car wash|brushless car wash,erie,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFkLr74B6D5pnlGzhHAKrGhB0pakQUFavt8ubGpnOcZlxfqADE58G23xDtKouy2kJJewPimBHzWoTFo8-4GeM-jFM5uVHf-0vkVl1u9X6CMtf8yGSEAaTpkQDEkGHQm5CqJtnCPdg=w80-h106-k-no
low,2693,Prestige Car Wash,"49 School St, Watertown, MA 02472",42.364326299999995,-71.1663502,4.5,2244,(781) 562-1622,ChIJTyOFTyJ444kRCjFi293QiQI,touchless car wash|laser car wash|brushless car wash,boston,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFlt6VyDPrpxrhne1Sr8l1WxC_JYDK4bjppFXKMoj3_hza2bW2yW85s6oaXo98FJ2AVgsedxAukyrzyIGkJR45dbl_AztU-Gkaaa8uROeRunJACHB18rn0b50F_SOWADI6ljdNh=w80-h106-k-no
low,2663,Busy Bee Car Wash,"8401 SW 40th St, Miami, FL 33155, United States",25.7334773,-80.3319369,4.6,2219,+1 786-933-9227,ChIJozFF0I-42YgRpvumw_dHw_M,touchless car wash,miami,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGqWaeAuxN2ig4TkamD6z_uvxCAmZa81WHsvBrIgShyzby6XZyPz3LQ3kGtYSjPZ_eHN6mB_qXNcOF3UBnjAsNC-s9plx4JVvq_Bqq9godfw1BJYrjQl5shiDUN3yuTDVr8WxtdofeUUWt6=w138-h92-k-no
high,2622,All Washed Up Auto Spa,"630 William Marks Dr, Munhall, PA 15120",40.409473299999995,-79.89900659999999,4.5,874,(888) 226-6100,ChIJvRbg2TjuNIgRavR0ZpcAtTc,touchless car wash|laser car wash|brushless car wash,pittsburgh,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6d9WO2zfNmIEm-SIh8KU_leK1KomzsIxAMb8CFmxvV4OK3GfO2p8SlM_Gq_oHpBCYTjxN1TVgLdbcKlPPWQMGS2Nr-KCf-a7WWxJvUZQfbu4j-ojRT5H5kjHskI75oGVUPmofZw=w122-h92-k-no
low,2537,Hurricane Express Wash,"4981 Virginia Beach Blvd, Virginia Beach, VA 23462",36.843016299999995,-76.1506179,4.7,2114,(855) 239-4601,ChIJZb8RzJWVuokRL4vBwkVcUMg,touchless car wash|brushless car wash,virginia-beach,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHN96sxVhDsT7YDCkcGW44RzRrkHlqvE8Tlo_kZOV_XC0QVTB3Dm_JbSg6OOrlzTVJ6Y236hMwHM-IHRyb2g1rWReTh00vXRciOzyQJ11BQSKbwHLdOEugKmQcJYnjMdv9KqQGfGg=w124-h92-k-no
low,2284,Flagstop Car Wash,"9486 W Broad St, Henrico, VA 23294",37.6398785,-77.5571504,4.9,1903,(804) 781-3341,ChIJww_5Z6kVsYkRh8cMLAA27ro,brushless car wash,richmond,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEK8qNMo-AkPsL0DJDDBGSyG5Vu7A3mDY3UTDUE6jGtKc42q4NWZj0lDZZdMz1RXums5G3qgKgJGK3yKUoNQMBK4z6fALZn3XC-b-R6sdMzPODamzFx1wDHiXfcd_SBGLzLg_9UuQ=w119-h92-k-no
low,2263,El Car Wash - West Dade,"2701 SW 137th Ave, Miami, FL 33175, United States",25.7422869,-80.4156969,4.9,1886,+1 866-305-4329,ChIJycQnY3G_2YgRoTaqONxYXMY,touchless car wash,miami,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE32MwWfiw_qJQnjl0iY1GPuf8xtkPvUkANbtYceL1LgRzmbSEbxm0jvUvBIeG1BLC1kC5wX6n0by0QRNbcIjtXcnfRgUu6bLz8NILHvk120KPqZrZ13KfdVRTVcuNcBcbO9nI=w122-h92-k-no
low,2204,Gleam Car Wash & Detail Center,"4895 W 38th Ave, Denver, CO 80212",39.7697875,-105.04876639999999,4.3,2204,(720) 476-7705,ChIJUXhsCXaHa4cRaCxwM7wtV00,brushless car wash,denver,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE6vA_jjgUMhBxHZaMIsGu2F0cgwtzijzoHL0B47csUedzc-jN2OLiuZSqeYg4hsRP74wboU4r6Nz6B4InAcToq6hF-W0VKQTvLeLjQc348Z5STeTm3SZSMk-2UaRvNgez1AJA=w89-h92-k-no
